wave,norm
4106.7676,838.0948399711511
4107.7124,838.0209042978759
4108.6572,837.9494415555919
4109.6045,837.8802561292497
4110.5503,837.8136277994721
4111.498,837.7493023576442
4112.4438,837.6875215978656
4113.3921,837.627984283394
4114.3384,837.5709588258649
4115.2852,837.5162729514326
4116.2339,837.4638388833694
4117.1807,837.4138508122826
4118.1304,837.3660431881658
4119.0776,837.3206735988512
4120.0273,837.2774868426206
4120.9751,837.2366695845404
4121.9233,837.1981018221331
4122.874,837.1616930124169
4123.8223,837.1276157358005
4124.7734,837.0956691208677
4125.7222,837.0660109162353
4126.6733,837.0384820333094
4127.623,837.0131774819242
4128.5723,836.9900492888049
4129.5244,836.9690125877867
4130.4746,836.950159251572
4131.4268,836.9333972206239
4132.3774,836.9187762909764
4133.3301,836.9062263199069
4134.2812,836.8957828950538
4135.2324,836.8874076829118
4136.1855,836.8810766506075
4137.1372,836.8767987061296
4138.0913,836.8745453643804
4139.0435,836.8743138493572
4139.9976,836.8760887308799
4140.9502,836.8798505326793
4141.9028,836.8855861414687
4142.8579,836.8933040522892
4143.811,836.902955200866
4144.7666,836.9145724531401
4145.7202,836.9280884876739
4146.6758,836.9435458845151
4147.6299,836.960875505997
4148.584,836.9800861745556
4149.5405,837.0012193733803
4150.4951,837.0241677079764
4151.4526,837.049035629396
4152.4072,837.0756587567828
4153.3647,837.1041851113858
4154.3203,837.1344608994522
4155.2764,837.1665446057524
4156.2344,837.2004763946492
4157.1904,837.2361043733732
4158.1489,837.2735841690475
4159.1055,837.3127320083869
4160.0649,837.3537293228848
4161.022,837.3963462600069
4161.979,837.4406611250851
4162.939,837.486812015446
4163.8965,837.5345227440222
4164.8564,837.5840241171195
4165.8149,837.6351097735903
4166.7754,837.6879494890313
4167.7339,837.7423103153252
4168.6929,837.7983173754078
4169.6538,837.8560456922343
4170.6133,837.9152855219863
4171.5752,837.9762612381253
4172.5347,838.0386559272097
4173.4971,838.1028028375973
4174.457,838.1683304858435
4175.4175,838.2354334294237
4176.3799,838.3041960326846
4177.3408,838.3743639409571
4178.3042,838.4462192384086
4179.2651,838.5193767267891
4180.229,838.5942440402226
4181.1909,838.670422944829
4182.1548,838.7482180644147
4183.1172,838.827335972399
4184.0796,838.907884593348
4185.0444,838.9900581488054
4186.0068,839.073435899351
4186.9722,839.1584750828684
4187.9355,839.2447165894396
4188.9014,839.332570460607
4189.8647,839.4215520095091
4190.8286,839.511940919433
4191.7949,839.6039006518254
4192.7593,839.6970114569066
4193.7261,839.7916779645035
4194.6909,839.8874586818597
4195.6582,839.9847899014848
4196.6235,840.0832084546792
4197.5889,840.1829133297554
4198.5571,840.2841778203236
4199.5229,840.3864476095945
4200.4912,840.490230542168
4201.4575,840.595034138176
