jd,fnu_microJy,fnu_microJy_unc,passband,programid,fcqfid,N_baseline,pre_or_post,zpdiff,C,sys_unc_factor,poor_conditions
2458628.9386806,0.16608679853012762,6.692436555483199,ZTF_g,1,4341201,74,-1,26.1377,0,1,0
2458633.8366204,-3.7546862738140447,2.527255031833153,ZTF_r,1,4341202,349,-1,26.2388,1,1,0
2458633.9575116,4.607689218703003,3.3887433814987555,ZTF_g,1,4341201,74,-1,26.1166,0,1,0
2458636.8995718,-4.142696698479456,2.9137513502664687,ZTF_r,1,4341202,349,-1,26.2336,1,1,0
2458636.9559259,-0.7264732565428065,2.163096743569536,ZTF_g,1,4341201,74,-1,26.159,0,1,0
2458639.8145949,0.5985411432320223,3.23221399670914,ZTF_r,1,4341202,349,-1,26.2351,1,1,0
2458639.9345718,3.212506778500783,2.4749934241674807,ZTF_g,1,4341201,74,-1,26.1923,0,1,0
2458641.8341551,-4.403122944099415,2.288254398088449,ZTF_r,3,4341202,349,-1,26.2697,1,1,0
2458641.8346065,2.2954147562608647,2.4459916350504236,ZTF_r,3,4341202,349,-1,26.2681,1,1,0
2458641.8350579,1.0935036993396057,2.014658753226903,ZTF_r,3,4341202,349,-1,26.2562,1,1,0
2458641.8355093,3.0780174747256233,2.1491189760027143,ZTF_r,3,4341202,349,-1,26.2712,1,1,0
2458641.8359606,-1.7879099481299316,2.453882592996085,ZTF_r,3,4341202,349,-1,26.2562,1,1,0
2458641.836412,1.764481327872043,2.7274434682506943,ZTF_r,3,4341202,349,-1,26.2628,1,1,0
2458641.8368634,3.036600266406193,2.4559667250637744,ZTF_r,3,4341202,349,-1,26.2543,1,1,0
2458641.8373148,-0.34464383911414964,2.11967107207461,ZTF_r,3,4341202,349,-1,26.2733,1,1,0
2458641.8377662,4.06686948255274,2.544390744584263,ZTF_r,3,4341202,349,-1,26.2621,1,1,0
2458641.838206,-2.2001379267494765,2.0594833663266017,ZTF_r,3,4341202,349,-1,26.2586,1,1,0
2458641.838669,0.9623565397309078,2.069732899180788,ZTF_r,3,4341202,349,-1,26.2633,1,1,0
2458641.8391204,1.0989725242085362,1.8560418641819998,ZTF_r,3,4341202,349,-1,26.2586,1,1,0
2458641.8395602,2.311285632130186,2.3402006169593292,ZTF_r,3,4341202,349,-1,26.252,1,1,0
2458641.8400116,1.607614366776285,1.9739886168659053,ZTF_r,3,4341202,349,-1,26.262,1,1,0
2458641.8405556,-0.9038258437686325,2.188743699110192,ZTF_r,3,4341202,349,-1,26.25,1,1,0
2458641.8410069,0.9344166424748712,2.1530826461862627,ZTF_r,3,4341202,349,-1,26.2639,1,1,0
2458641.8414583,0.975133460508767,2.5046772681622875,ZTF_r,3,4341202,349,-1,26.2574,1,1,0
2458641.8419097,-3.5508178873239724,2.1190069356744874,ZTF_r,3,4341202,349,-1,26.2544,1,1,0
2458641.8423611,1.8625236538397214,2.615558658329098,ZTF_r,3,4341202,349,-1,26.2632,1,1,0
2458641.8428125,0.6388068583238365,2.526072264212543,ZTF_r,3,4341202,349,-1,26.2629,1,1,0
2458641.8432639,4.137035958950094,3.025303371110362,ZTF_r,3,4341202,349,-1,26.2646,1,1,0
2458641.8437153,0.5126429574522129,2.644204265223624,ZTF_r,3,4341202,349,-1,26.2547,1,1,0
2458641.8441782,-0.5066364546493005,2.3707232557308435,ZTF_r,3,4341202,349,-1,26.2618,1,1,0
2458641.8446296,-2.1910127961321186,2.614861743201522,ZTF_r,3,4341202,349,-1,26.261,1,1,0
2458641.845081,0.9415153251931682,2.3642202315879652,ZTF_r,3,4341202,349,-1,26.2609,1,1,0
2458641.8455324,-2.3730767562556685,2.8042458624235596,ZTF_r,3,4341202,349,-1,26.2613,1,1,0
2458641.8459838,-3.3122440292676125,2.743185678790137,ZTF_r,3,4341202,349,-1,26.265,1,1,0
2458641.8464352,-4.10315497325436,2.5152518486390587,ZTF_r,3,4341202,349,-1,26.2578,1,1,0
2458641.8468866,-0.65658228783899,2.5816555171753883,ZTF_r,3,4341202,349,-1,26.2599,1,1,0
2458641.847338,0.4178022516499319,2.3200389210087433,ZTF_r,3,4341202,349,-1,26.2679,1,1,0
2458641.8477894,1.8495292020665937,2.5575724859771007,ZTF_r,3,4341202,349,-1,26.2639,1,1,0
2458641.8482407,-3.535699611723297,2.8642962845469646,ZTF_r,3,4341202,349,-1,26.2619,1,1,0
2458641.8486921,0.8762436447916989,2.1619735718000577,ZTF_r,3,4341202,349,-1,26.2635,1,1,0
2458641.8491435,-6.134136535118671,2.763616679775022,ZTF_r,3,4341202,349,-1,26.2593,1,1,0
2458641.8495949,0.07907527232517836,2.3098931881554607,ZTF_r,3,4341202,349,-1,26.2623,1,1,0
2458641.8500463,-1.7771238105076739,2.486997025358991,ZTF_r,3,4341202,349,-1,26.2609,1,1,0
2458641.8504977,-2.4503054818320384,2.7245416515185292,ZTF_r,3,4341202,349,-1,26.2585,1,1,0
2458641.8509491,0.9324243858983697,2.763477689946509,ZTF_r,3,4341202,349,-1,26.2592,1,1,0
2458641.8514005,0.20005235928313458,2.691314224801525,ZTF_r,3,4341202,349,-1,26.2581,1,1,0
2458641.8518519,3.3655056565753756,3.2182815150502324,ZTF_r,3,4341202,349,-1,26.2672,1,1,0
2458641.8523032,-2.110272501885934,2.8705349899723744,ZTF_r,3,4341202,349,-1,26.2635,1,1,0
2458641.8527546,-1.9086791350990744,2.426590186372236,ZTF_r,3,4341202,349,-1,26.2607,1,1,0
2458641.853206,0.28753385441224055,2.4476504861769963,ZTF_r,3,4341202,349,-1,26.2589,1,1,0
2458641.8536574,1.2284505947341333,2.572388595732114,ZTF_r,3,4341202,349,-1,26.2627,1,1,0
2458641.8541088,0.5082566250771071,2.1330866058101354,ZTF_r,3,4341202,349,-1,26.2551,1,1,0
2458641.8545602,-2.4180367988014035,2.838241345570137,ZTF_r,3,4341202,349,-1,26.2624,1,1,0
2458641.8550116,2.22664786880051,2.0159975462480615,ZTF_r,3,4341202,349,-1,26.2598,1,1,0
2458641.855463,4.930053748046298,2.6156978116523972,ZTF_r,3,4341202,349,-1,26.2562,1,1,0
2458641.8559144,-1.6143657082627805,2.379709039011083,ZTF_r,3,4341202,349,-1,26.2609,1,1,0
2458641.8563657,3.270220597694953,2.3431446194971106,ZTF_r,3,4341202,349,-1,26.2577,1,1,0
2458641.8568171,-1.0971166033393713,2.395422548478695,ZTF_r,3,4341202,349,-1,26.2589,1,1,0
2458641.8572685,0.6667803559724939,2.157175045954296,ZTF_r,3,4341202,349,-1,26.2544,1,1,0
2458641.8577199,1.9688658876062268,2.5063530913457233,ZTF_r,3,4341202,349,-1,26.2597,1,1,0
2458641.8581713,-5.613388140347302,2.5018109289023154,ZTF_r,3,4341202,349,-1,26.2544,1,1,0
2458641.8586227,0.46033194499051305,2.757886550815815,ZTF_r,3,4341202,349,-1,26.2611,1,1,0
2458641.8590741,2.6999045478865367,2.356305911705153,ZTF_r,3,4341202,349,-1,26.2543,1,1,0
2458641.8595255,0.10127302058487907,2.4527894163260426,ZTF_r,3,4341202,349,-1,26.255,1,1,0
2458641.8599769,-1.9982648679109218,2.671400654262256,ZTF_r,3,4341202,349,-1,26.2582,1,1,0
2458641.8604282,-2.3076161592854443,2.3377291225586228,ZTF_r,3,4341202,349,-1,26.2569,1,1,0
2458641.8608796,-0.8727054375753435,2.45209579641213,ZTF_r,3,4341202,349,-1,26.2579,1,1,0
2458641.861331,-1.6307987528122605,2.925434747424919,ZTF_r,3,4341202,349,-1,26.2589,1,1,0
2458641.8617824,-1.150805478929336,3.558590776311732,ZTF_r,3,4341202,349,-1,26.2561,1,1,0
2458641.8622338,1.6318553850526312,2.539487184211706,ZTF_r,3,4341202,349,-1,26.2649,1,1,0
2458641.8626852,-1.7119797623943793,2.282836890263279,ZTF_r,3,4341202,349,-1,26.2528,1,1,0
2458641.8631366,0.3601665833559355,2.297578702301992,ZTF_r,3,4341202,349,-1,26.257,1,1,0
2458641.863588,-0.03066258362974374,2.217895363172066,ZTF_r,3,4341202,349,-1,26.2565,1,1,0
2458641.8640394,-3.778778961966808,2.647562198205887,ZTF_r,3,4341202,349,-1,26.2568,1,1,0
2458641.8644907,-0.4134404935764566,2.6658849621714364,ZTF_r,3,4341202,349,-1,26.2528,1,1,0
2458641.8649537,-0.760346250434542,2.4994990701212005,ZTF_r,3,4341202,349,-1,26.2564,1,1,0
2458641.8654051,1.2853783069255897,2.4304140962975445,ZTF_r,3,4341202,349,-1,26.2616,1,1,0
2458641.8658565,2.9977258531343063,2.19358446136524,ZTF_r,3,4341202,349,-1,26.2639,1,1,0
2458641.8663079,0.732142607357705,2.3522927254427373,ZTF_r,3,4341202,349,-1,26.2617,1,1,0
2458641.8667593,1.1406801685925418,2.2166659170267176,ZTF_r,3,4341202,349,-1,26.2612,1,1,0
2458641.8672106,0.8237482392926142,2.160239946393732,ZTF_r,3,4341202,349,-1,26.252,1,1,0
2458641.867662,0.8063794738800724,2.2003021018761553,ZTF_r,3,4341202,349,-1,26.2588,1,1,0
2458641.8681134,-0.46526778849652756,2.3969237319671195,ZTF_r,3,4341202,349,-1,26.2616,1,1,0
2458641.8685648,2.1078700929689167,2.0625962760978265,ZTF_r,3,4341202,349,-1,26.2621,1,1,0
2458641.8690162,0.6733187993796579,2.1589592337257133,ZTF_r,3,4341202,349,-1,26.2543,1,1,0
2458641.8694676,1.5526250537688708,2.478863407054309,ZTF_r,3,4341202,349,-1,26.2537,1,1,0
2458641.869919,-2.000228671066159,2.4324036434748706,ZTF_r,3,4341202,349,-1,26.2557,1,1,0
